molecule_chembl_id,canonical_smiles,activity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50,activityclass
CHEMBL348660,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1,inactive,280.28299999999996,1.5150000000000001,1.0,3.0,4.903089986991944,inactive
CHEMBL210497,COc1cccc(-c2nc(SCC(=O)Nc3ccc(S(N)(=O)=O)cc3)nc(O)c2C#N)c1,inactive,471.5200000000002,2.10768,3.0,9.0,1.0,inactive
CHEMBL222342,O=C(Oc1ccccn1)c1cccs1,active,205.238,2.3623000000000003,0.0,4.0,7.886056647693163,active
CHEMBL198908,COC(=O)C1(C(=O)OC)NC1C,active,173.168,-0.9370999999999998,1.0,5.0,8.0,active
CHEMBL375130,Cc1nn(C)c(NCc2ccc(-c3cccs3)s2)c1[N+](=O)[O-],inactive,334.4260000000001,4.038820000000003,1.0,7.0,4.698970004336019,inactive
CHEMBL382725,CCOC(=O)C1C(C)N1Cc1ccccc1,active,219.284,1.8224,0.0,3.0,8.0,active
CHEMBL222893,O=C(Oc1cncc(Cl)c1)c1cc2ccccc2s1,active,289.74300000000005,4.168900000000002,0.0,4.0,7.022276394711152,active
CHEMBL378677,CC(C)(C)c1ccc(NC(=O)CSc2nc(O)c(C#N)c(C3CCCCC3)n2)cc1,inactive,424.5700000000003,5.129880000000004,2.0,6.0,1.0,inactive
CHEMBL198854,COC(=O)C1CN1[C@H](C(=O)OC)C(C)C,active,215.249,0.04119999999999968,0.0,5.0,7.522878745280337,active
CHEMBL210323,COC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1,active,295.294,2.2027,0.0,4.0,7.602059991327962,active
CHEMBL377253,CC(=O)c1ccccc1S(=O)(=O)c1ccccc1C(=O)O,inactive,304.32300000000004,2.4202000000000004,1.0,4.0,4.795880017344075,inactive
CHEMBL202391,C[C@H]1O[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O,active,249.26600000000002,0.5857999999999992,2.0,3.0,8.0,active
CHEMBL387355,Cc1ccc(OC(=O)c2cccs2)c([N+](=O)[O-])n1,active,264.262,2.578920000000001,0.0,6.0,7.823908740944319,active
CHEMBL199026,COC(=O)C1CN1CC(=O)OCc1ccccc1,active,249.26600000000002,0.5869999999999993,0.0,5.0,7.585026652029182,active
CHEMBL200722,CCC(C)[C@@H](C(=O)OCc1ccccc1)N1CC1C(=O)OC,active,305.3740000000001,2.0017,0.0,5.0,7.522878745280337,active
CHEMBL376243,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)c1cccs1)[C@@H](C)O)C(C)C,active,593.7470000000003,0.4990000000000035,6.0,8.0,7.638272163982407,active
CHEMBL197491,COC(=O)CN1CC1C(=O)N[C@@H](Cc1ccccc1)C(=O)OC,active,320.34500000000014,-0.255899999999998,1.0,6.0,8.0,active
CHEMBL381454,C[C@@H]1O[C@@H]1C(=O)N[C@H](Cc1ccccc1)C(=O)OCc1ccccc1,active,339.3910000000001,2.2445999999999993,1.0,4.0,8.0,active
CHEMBL373971,O=C(Oc1cncc(Cl)c1)c1ccc[nH]1,active,222.63100000000003,2.2822999999999993,1.0,3.0,7.187086643357144,active
CHEMBL362493,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c(Cl)ccc(Cl)c21,active,362.23700000000014,4.937600000000002,0.0,3.0,7.337242168318426,active
CHEMBL370363,COC(=O)[C@H]1N[C@H]1C(=O)OC,active,159.141,-1.3271999999999995,1.0,5.0,8.0,active
CHEMBL387321,Cc1cccc(OC(=O)c2cccs2)n1,active,219.26500000000001,2.67072,0.0,4.0,7.42021640338319,active
CHEMBL227075,Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1,inactive,278.307,3.2910200000000023,0.0,3.0,4.841637507904751,inactive
CHEMBL187266,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,inactive,294.35,4.247920000000003,0.0,3.0,4.050122295963125,inactive
CHEMBL378674,CSc1sc(-c2nc(C)cs2)c(C)c1-c1ccnc(SCC(=O)Nc2ccccc2Cl)n1,inactive,519.1420000000002,7.051540000000005,1.0,8.0,1.0,inactive
CHEMBL196253,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)C(CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccc(F)cc1,active,598.6720000000004,2.8249200000000014,3.0,8.0,7.0,active
CHEMBL384739,O=[N+]([O-])c1ccc(S(=O)(=O)c2ccc(Cl)cc2)[n+]([O-])c1,inactive,314.706,1.7143999999999997,0.0,5.0,4.823908740944319,inactive
CHEMBL148483,CN1C(=O)C(=O)c2cc(C(N)=O)ccc21,inactive,204.18499999999997,-0.05540000000000028,1.0,3.0,4.1487416512809245,inactive
CHEMBL209667,O=C(CSc1nccc(-c2cc(-c3ccccc3Cl)no2)n1)Nc1ccc(Cl)cc1,inactive,457.3420000000001,5.8362000000000025,1.0,6.0,1.0,inactive
CHEMBL188484,O=C1C(=O)N(Cc2cc3ccccc3o2)c2ccc(I)cc21,active,403.175,3.7669000000000015,0.0,3.0,7.886056647693163,active
CHEMBL198753,C[C@@H]1O[C@@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)OCc1ccccc1,active,339.3910000000001,2.2445999999999993,1.0,4.0,7.552841968657781,active
CHEMBL210437,COc1ccc(-c2ccnc(SCC(=O)Nc3ccc(C(C)C)cc3)n2)cc1,inactive,393.51200000000006,5.006400000000004,1.0,5.0,1.0,inactive
CHEMBL380470,COc1ccc(NC(=O)CSc2nc(O)cc(-c3ccccc3)n2)cc1OC,inactive,397.45600000000013,3.5972000000000017,2.0,7.0,1.0,inactive
CHEMBL378342,CCOC(=O)C(=CNc1ccc(S(=O)(=O)c2ccc(/N=C/C(C(=O)OCC)=C(\O)OCC)cc2)cc1)C(=O)OCC,inactive,588.6350000000002,4.012900000000003,2.0,12.0,4.494850021680094,inactive
CHEMBL198907,CCOC(=O)N1C(C)C1(C(=O)OC)C(=O)OC,active,245.23099999999997,-0.06820000000000004,0.0,6.0,8.0,active
CHEMBL221501,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)Oc1cncc(Cl)c1)[C@@H](C)OCc1ccccc1)C(C)C,active,729.2750000000002,2.433100000000004,5.0,9.0,8.0,active
CHEMBL198359,CC(C)C[C@H](NC(=O)[C@@H](O)C(S)C(=O)O)C(=O)NCCCCN=C(N)N,active,391.49400000000026,-1.5689999999999973,7.0,6.0,11.657577319177792,active
CHEMBL225515,O=C(Oc1cncc(Cl)c1)c1cc2ccccc2[nH]1,active,272.69100000000003,3.435500000000001,1.0,3.0,7.187086643357144,active
CHEMBL20636,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1ccc(F)cc1)NC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,inactive,599.6600000000001,1.7343200000000023,4.0,8.0,5.0,inactive
